GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calculator Application,calculator.src.main.java.com.calculator,exitFunction,48,0,4,0,14,0,4,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run,731,0,0,0,128,0,3,0,3,0
Calculator Application,calculator.src.main.java.com.calculator,calculations,635,0,56,0,191,0,37,0,8,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},135,0,6,0,25,0,7,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},29,0,2,0,4,0,3,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},8,0,0,0,3,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},12,0,0,0,3,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},8,0,0,0,3,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},8,0,0,0,3,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},38,0,2,0,8,0,3,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},8,0,0,0,3,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},8,0,0,0,3,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},8,0,0,0,3,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},24,0,0,0,4,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,run.new ActionListener() {...},8,0,0,0,3,0,2,0,2,0
Calculator Application,calculator.src.main.java.com.calculator,CalculationUtils,3,327,0,36,1,69,1,38,1,18
